id,stage,billNumber,sessionYear,chamber,patronName,patronLISId,legislatorId,districtCode,itemNumber,subItem,agencyCode,agencyName,secretariatCode,spendingCategoryId,fiscalYear,deltaGF,deltaNGF,netAmount,isIncrease,isLanguageOnly,descriptionShort,descriptionFull,primaryRecipientName,recipientRawText,recipientConfidence,sourcePdfPath,sourcePage,sourceLineHint,createdAt,updatedAt
HB30-2024-member-1-001,member_request,HB30,2024,House,Anthony,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,100000.0,0.0,100000.0,True,False,"This amendment provides $100,000 each year from the general fund pursuant to House
Joint Resolution 46, which directs the Department of Stat","This amendment provides $100,000 each year from the general fund pursuant to House
Joint Resolution 46, which directs the Department of State Police to study the need for
an alert program, to be known as the Starr Alert Program, to notify vehicle repair shops
of nearby hit-and-run incident. This amendment is a placeholder until a fiscal impact
statement for the bill is produced.",,,,Amendment Member Requests/HB30 Member Request.pdf,1,Anthony,2025-11-21T11:05:19.096133-05:00,
HB30-2024-member-44-002,member_request,HB30,2024,House,Anthony,,,,44,,,Executive Offices FY24-25 FY25-26,,independent_agencies,,10000.0,0.0,10000.0,True,False,"This amendment provides $10,000 each year from the general fund in support of House
Bill 1000 that establishes an Environmental Justice Task","This amendment provides $10,000 each year from the general fund in support of House
Bill 1000 that establishes an Environmental Justice Task Force within the Office of the
Governor. This amendment is a placeholder until a fiscal impact statement for the bill is
produced.",,,,Amendment Member Requests/HB30 Member Request.pdf,1,Anthony,2025-11-21T11:05:19.097294-05:00,
HB30-2024-member-77-003,member_request,HB30,2024,House,Anthony,,,,77,,,Administration FY24-25 FY25-26,,independent_agencies,,50000.0,0.0,50000.0,True,False,,,,,,Amendment Member Requests/HB30 Member Request.pdf,1,Anthony,2025-11-21T11:05:19.097440-05:00,
HB30-2024-member-102-004,member_request,HB30,2024,House,Anthony,,,,102,,,Commerce and Trade FY24-25 FY25-26,,commerce_and_trade,,200000.0,0.0,200000.0,True,False,"This amendment provides $200,000 in each year to effectuate the provisions of House Bill 996
of the 2024 General Assembly, which requires th","This amendment provides $200,000 in each year to effectuate the provisions of House Bill 996
of the 2024 General Assembly, which requires the Department of Housing and Community
Development to develop a sample notice of tenant screening criteria and a standardized
statement regarding an applicant's rights protected by the federal Fair Credit Reporting Act and
to make such sample notice and statement available on the Department's website. This is a
placeholder amendment until a final fiscal impact statement is produced.",,,,Amendment Member Requests/HB30 Member Request.pdf,2,Anthony,2025-11-21T11:05:19.097858-05:00,
HB30-2024-member-124-005,member_request,HB30,2024,House,Anthony,,,,124,,,Education FY24-25 FY25-26,,k12_education,,0.0,0.0,0.0,False,False,"This amendment provides $17.0 million in fiscal year 2025 for the development of the
Chesapeake Regional Career and Technical Center. These ","This amendment provides $17.0 million in fiscal year 2025 for the development of the
Chesapeake Regional Career and Technical Center. These funds will be matched with $5.0
million from Chesapeake Public Schools and $5.0 million from the City of Chesapeake.",the development of the Chesapeake Regional Career and Technical Center,for the development of the Chesapeake Regional Career and Technical Center,0.95,Amendment Member Requests/HB30 Member Request.pdf,2,Anthony,2025-11-21T11:05:19.098303-05:00,
HB30-2024-member-163-006,member_request,HB30,2024,House,Anthony,,,,163,,,Education: Higher Education FY24-25 FY25-26,,higher_education,,1350000.0,0.0,1350000.0,True,False,"This amendment requests funds to support the expansion of the SP3 program to provide
additional work-based experiences on campus and in the ","This amendment requests funds to support the expansion of the SP3 program to provide
additional work-based experiences on campus and in the local community.",,,,Amendment Member Requests/HB30 Member Request.pdf,3,Anthony,2025-11-21T11:05:19.098478-05:00,
HB30-2024-member-273-007,member_request,HB30,2024,House,Anthony,,,,273,,,Health and Human Resources FY24-25 FY25-26,,health_and_human_resources,,300000.0,0.0,300000.0,True,False,"This amendment provides $250,000 the first year and $300,000 the second year from the
general fund to support the establishment of the Fetal","This amendment provides $250,000 the first year and $300,000 the second year from the
general fund to support the establishment of the Fetal Infant Mortality Review Team pursuant to
House Bill 997, which establishes the Fetal and Infant Mortality Review Team to develop and
implement procedures to ensure that fetal and infant deaths occurring in the Commonwealth are
analyzed in a systematic way. The bill requires the Team to compile triennial statistical data
regarding fetal and infant deaths and to make such data available to the Governor, the General
Assembly, and the Department of Health. The bill provides that information and records
obtained or created by the Team and portions of meetings of the Team at which individual fetal
and infant deaths are discussed shall be confidential.",,,,Amendment Member Requests/HB30 Member Request.pdf,3,Anthony,2025-11-21T11:05:19.099079-05:00,
HB30-2024-member-331-008,member_request,HB30,2024,House,Anthony,,,,331,,,Health and Human Resources FY24-25 FY25-26,,health_and_human_resources,,500000.0,0.0,500000.0,True,False,"This amendment provides $500,000 each year from the general fund to the nonprofit Buffalow
Family and Friends, which is deemed as the ""Food ","This amendment provides $500,000 each year from the general fund to the nonprofit Buffalow
Family and Friends, which is deemed as the ""Food Bank"" of Chesapeake. They provide access
to food, clothing, and basic living essentials at their food pantry and multipurpose center and to
deliver food to senior independent living and disenfranchised communities in Chesapeake on a
monthly basis.",,,,Amendment Member Requests/HB30 Member Request.pdf,4,Anthony,2025-11-21T11:05:19.099634-05:00,
HB30-2024-member-371-009,member_request,HB30,2024,House,Arnold,,,,371,,,Natural and Historic Resources FY24-25 FY25-26,,independent_agencies,,0.0,0.0,0.0,False,False,"This amendment provides $400,000 the first year from the general fund for structural repairs to
the Haller-Gibboney Rock House Museum.","This amendment provides $400,000 the first year from the general fund for structural repairs to
the Haller-Gibboney Rock House Museum.",,,,Amendment Member Requests/HB30 Member Request.pdf,4,Arnold,2025-11-21T11:05:19.100152-05:00,
HB30-2024-member-390-010,member_request,HB30,2024,House,Arnold,,,,390,,,Public Safety and Homeland Security FY24-25 FY25-26,,public_safety_and_homeland_security,,0.0,0.0,0.0,False,False,"This amendment provides $2.9 million the first year from the general fund pursuant to House
Bill 439, which would create mandatory minimum p","This amendment provides $2.9 million the first year from the general fund pursuant to House
Bill 439, which would create mandatory minimum penalties for second or subsequent
convictions for possession of any Schedule I or II drug.",,,,Amendment Member Requests/HB30 Member Request.pdf,5,Arnold,2025-11-21T11:05:19.100677-05:00,
HB30-2024-member-390-011,member_request,HB30,2024,House,Arnold,,,,390,,,Public Safety and Homeland Security FY24-25 FY25-26,,public_safety_and_homeland_security,,0.0,0.0,0.0,False,False,"This amendment provides $50,000 the first year from the general fund pursuant to House Bill
437, which would establish weight-based penaltie","This amendment provides $50,000 the first year from the general fund pursuant to House Bill
437, which would establish weight-based penalties for manufacture, sale, and distribution of
fentanyl.",,,,Amendment Member Requests/HB30 Member Request.pdf,5,Arnold,2025-11-21T11:05:19.101162-05:00,
HB30-2024-member-1-012,member_request,HB30,2024,House,Askew,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,0.0,0.0,0.0,False,False,"This amendment provides $50,000 the first year from the general fund pursuant to House Joint
Resolution 25, which establishes a joint commit","This amendment provides $50,000 the first year from the general fund pursuant to House Joint
Resolution 25, which establishes a joint committee of the House Committee on Education and
the Senate Committee on Education and Health to study challenges faced by and effective
strategies for ensuring the sustainable, long-term success of Virginia's five historically black
colleges and universities. This amendment is a placeholder until a fiscal impact statement for
the bill is produced.",,,,Amendment Member Requests/HB30 Member Request.pdf,5,Askew,2025-11-21T11:05:19.101888-05:00,
HB30-2024-member-1-013,member_request,HB30,2024,House,Askew,,,,1,,,Legislative Department FY24-25 FY25-26,,legislative,,0.0,0.0,0.0,False,False,"This amendment provides $150,000 the first year from nongeneral fund sources pursuant to
legislation to be introduced in the 2024 Session re","This amendment provides $150,000 the first year from nongeneral fund sources pursuant to
legislation to be introduced in the 2024 Session related to independent evaluations of
competitive solicitations for offshore wind enterprises. The proposed revenue source for this
amendment would be from application fees proposed on such competitive solicitations. This
amendment is a placeholder until a fiscal impact statement for the bill is produced.",,,,Amendment Member Requests/HB30 Member Request.pdf,6,Askew,2025-11-21T11:05:19.102744-05:00,
HB30-2024-member-109-014,member_request,HB30,2024,House,Askew,,,,109,,,Commerce and Trade FY24-25 FY25-26,,commerce_and_trade,,3000000.0,0.0,3000000.0,True,False,"This amendment provides $6.0 million over the biennium from the general fund and $150,000
in fiscal year 2025 from the nongeneral fund for t","This amendment provides $6.0 million over the biennium from the general fund and $150,000
in fiscal year 2025 from the nongeneral fund for the Department of Energy to retain an
independent evaluator to assist with the competitive solicitation of offshore wind projects.
Pursuant to a bill under consideration by the 2024 General Assembly, the department can defray
the costs of the independent evaluator through application fees on proposals in the competitive
solicitation.",the Department of Energy to retain an independent evaluator,for the Department of Energy to retain an independent evaluator to assist with the competitive solicitation of offshore wind projects,0.95,Amendment Member Requests/HB30 Member Request.pdf,6,Askew,2025-11-21T11:05:19.103636-05:00,
HB30-2024-member-114-015,member_request,HB30,2024,House,Askew,,,,114,,,Commerce and Trade FY24-25 FY25-26,,commerce_and_trade,,0.0,0.0,0.0,False,False,"This amendment provide $100,000 in fiscal year 2025 for the city of Virginia Beach to develop
a Hampton Roads African American Heritage trav","This amendment provide $100,000 in fiscal year 2025 for the city of Virginia Beach to develop
a Hampton Roads African American Heritage travel guide.",the city of Virginia Beach to develop a Hampton Roads African American Heritage travel guide,for the city of Virginia Beach to develop a Hampton Roads African American Heritage travel guide,0.95,Amendment Member Requests/HB30 Member Request.pdf,7,Askew,2025-11-21T11:05:19.104067-05:00,
